"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1831681872541446668,""Thu Sep 05 15:17:02 +0000 2024"",""35"",""Selain bocoran MT masih ada 15+ webinar lainnya dari perusahaan bonafit kayak GoTo Ruangguru Auto 2000 Kino dsb. TIMELINE Apply Loker: NOW! ‍ Webinar &amp  Konsultasi Karir with HR : 23 27 Sep 24 Offline Company Visit: 1 31 Okt 24 Semangat pejuang MT! https://t.co/Gxxys3VMy1"",""1831713156517056734"",""https://pbs.twimg.com/media/GWuNZufa8AAMc4I.jpg"",""nanadybs"",""in"",""Jakarta Capital Region"",""0"",""0"",""2"",""https://x.com/nanadybs/status/1831713156517056734"",""330922245"",""nanadybs"""
"1831588074762977702,""Thu Sep 05 07:00:00 +0000 2024"",""0"",""PT GoTo mengumumkan tutup di Vietnam per 16 September 2024. Di sana GoTo membuka layanan Go-Viet. Corporate Secretary GoTo Koesoemohadiani menyebut penutupan ini mempertegas fokus perusahaan dalam mengembangkan bisnis yang berpotensi tumbuh signifikan. #SmartNews https://t.co/WvJdlcQWjW"",""1831588074762977702"",""https://pbs.twimg.com/media/GWrWu6ga8AU4_3J.jpg"","""",""in"",""Jl. Kebahagiaan No.4-14Jakarta"",""0"",""0"",""0"",""https://x.com/RadioSmartFM/status/1831588074762977702"",""177084452"",""RadioSmartFM"""
"1831576812012630023,""Thu Sep 05 06:15:15 +0000 2024"",""0"",""GoTo memutuskan untuk menghentikan bisnis layanan ojek online (ojol) di Vietnam GoViet karena alasan pertumbuhan perusahaan. https://t.co/lZyp8RVkwV"",""1831576812012630023"","""","""",""in"",""Jakarta"",""0"",""0"",""1"",""https://x.com/kompascom/status/1831576812012630023"",""23343960"",""kompascom"""
"1831538446495838442,""Thu Sep 05 03:58:40 +0000 2024"",""1"",""@BKNgoid @PeruriDigital Lain x utk thn dpn kerja sama dg swasta aja min utk e materai mndg lbh baik dkelola sama perusahaan swasta yg gede kyk GoTo Shopee atau perusahaan fintech gede mana aja yg udh biasa di dunia digital saya yakin malah lebih profesional CS ny ada klo ada kendala.."",""1831542437850083614"","""",""BKNgoid"",""in"","""",""0"",""0"",""0"",""https://x.com/RakaZe03x/status/1831542437850083614"",""1823096082165116928"",""RakaZe03x"""
"1831303879738396779,""Wed Sep 04 12:21:20 +0000 2024"",""2"",""Yang jadi pertanyaan apakah hal ini wajar? Kalau menurut paparan analisis CELIOS Nailul Huda ini wajar sebagai strategi perusahaan. Apalagi kontribusi Gojek di Vietnam terhadap GOTO juga tidak signifikan."",""1831306551891759374"","""",""BigAlphaID"",""in"",""Jakarta Capital Region"",""0"",""1"",""0"",""https://x.com/BigAlphaID/status/1831306551891759374"",""958566590768926721"",""BigAlphaID"""
"1831232739313594525,""Wed Sep 04 10:10:33 +0000 2024"",""0"",""@rmxrmxrm @andreaswij_ keknya gda yang jata begitu orang saham sdmua tau klo goto perusahaan rugi"",""1831273640081428910"","""",""rmxrmxrm"",""in"","""",""0"",""0"",""0"",""https://x.com/Sambaaa01/status/1831273640081428910"",""1679666094930546688"",""Sambaaa01"""
"1830920572953600370,""Tue Sep 03 12:36:06 +0000 2024"",""13"",""@Saham_fess soul sulit balik. salahin BEI dan OJK lolosin IPO blangsak. ketr masi bs diharepin balik. revenue cukup tinggi. GoTo net income bs positif baru goto moon. BBYB revenue tinggi kok ya net income minus. perusahaan blangsak. mending GoTo avdown. mudah2an kedepan bs recover P/L"",""1830947877796945990"","""",""Saham_fess"",""in"","""",""0"",""1"",""0"",""https://x.com/cikajang1278/status/1830947877796945990"",""1683681209619189760"",""cikajang1278"""
"1830916786700853517,""Tue Sep 03 11:31:20 +0000 2024"",""0"",""@Saham_fess ya emang banyak perusahaan IPO tapi spek sampah sih gak cuma goto sebenarnya"",""1830931578538860726"","""",""Saham_fess"",""in"","""",""0"",""1"",""0"",""https://x.com/money_shelbyy/status/1830931578538860726"",""1437651852187693060"",""money_shelbyy"""
"1830519918791733502,""Mon Sep 02 08:15:32 +0000 2024"",""0"",""gws dah investor kalo yg begini gk di usut perusahaan semacam goto misalnya muncul lagi mampus dah duit masyarakat ipo sekian naik dikit biar keliatan saham bagus 2 minggu kemudian dibanting haha https://t.co/Y3gZ9THRqt"",""1830519918791733502"",""https://pbs.twimg.com/media/GWdP0CybQAAdb_l.jpg"","""",""in"",""ClashofClan #P29L9CC2C"",""0"",""0"",""0"",""https://x.com/Liperfool/status/1830519918791733502"",""1689659882243579904"",""Liperfool"""
"1830467415932883074,""Mon Sep 02 04:46:55 +0000 2024"",""0"",""Grab &amp  GoTo itu penyedia layanan bukan penyedia jasa. Para driver itu mitra bukan karyawan tapi banyak demo dan nuntut Perusahaan teknologi ini belum bisa berkembang kalau SDM nya masih seperti ini UBER aja shock sampai cabut dari RI."",""1830467415932883074"","""","""",""in"",""South East Asia"",""0"",""0"",""0"",""https://x.com/moscow_hahaha/status/1830467415932883074"",""1295303594413944833"",""moscow_hahaha"""
